696279 Archaeology	67934 Arqueología	241652 Archäologie	84940 Archéologie	16729 Arqueologia	20030 علم_الآثار	5739 Arkeologia	6144 Αρχαιολογία	17045 Arheologie	5421 Arqueologia
696048 Electromagnetism 	68082 Electromagnetismo 	242267 Elektrodynamik 	94732 Électromagnétisme 	12678 Electromagnetisme 	13931 كهرومغناطيسية 	7824 Elektromagnetismoa 	24901 Ηλεκτρομαγνητισμός 	40645 Electromagnetism 	10930 Electromagnetisme 
2144820 Hemiptera 	335675 Hemiptera 	1046013 Schnabelkerfe 	6388335 Hemiptera 	325318 Hemípters 	1791963 نصفيات_الأجنحة 	161748 Hemiptera 	115955 Ημίπτερα 	1235800 Hemiptera 	59724 Emiptèr 
16197456 Holy_Roman_Emperors 	131175 Emperadores_del_Sacro_Imperio_Romano_Germánico 	262416 Kaiser_(HRR) 	423029 Empereur_romain_germanique 	82717 Emperadors_romanogermànics 	266734 أباطرة_الرومانية_المقدسة 	242075 Germaniako_Erromatar_Inperio_Santuko_enperadoreak 	114122 Αυτοκράτορες_της_Αγίας_Ρωμαϊκής_Αυτοκρατορίας 	760943 Împărați_romano-germani 	52618 Emperaire_roman_germanic 
728572 Ottoman_Empire 	3170742 Imperio_otomano 	324253 Osmanisches_Reich 	234056 Empire_ottoman 	42697 Imperi_Otomà 	1052100 الدولة_العثمانية 	153547 Otomandar_Inperioa 	21918 Οθωμανική_αυτοκρατορία 	38755 Imperiul_Otoman 	34805 Empèri_Otoman 
1054517 Emilia-Romagna 	726554 Emilia-Romaña 	2599871 Emilia-Romagna 	154556 Émilie-Romagne 	76729 Emília-Romanya 	1167592 إميليا_رومانيا 	21107 Emilia-Romagna 	103202 Εμίλια-Ρομάνια 	954613 Emilia-Romagna 	5558 Emília-Romanha 
703499 Encyclopedias 	59254 Enciclopedias 	7116923 Lexikon_oder_Enzyklopädie 	118046 Encyclopédie 	177073 Enciclopèdies 	36124 موسوعات 	21542 Entziklopediak 	8809 Εγκυκλοπαίδειες 	21774 Enciclopedii 	6470 Enciclopèdia 
7689273 Wind_power 	602579 Energía_eólica 	254757 Windenergie 	672937 Énergie_éolienne 	240049 Energia_eòlica 	1713663 طاقة_الرياح 	101598 Energia_eolikoa 	142720 Αιολική_ενέργεια 	370399 Energie_eoliană 	62719 Energia_eoliana 
692903 Engineering 	65205 Ingeniería 	240548 Ingenieurwissenschaft 	84694 Ingénierie 	15278 Enginyeria 	6554 هندسة 	6226 Ingeniaritza 	21511 Επιστήμες_Μηχανικών 	21144 Inginerie 	37138 Engenhariá 
3103170 Environment 	112628 Medio_ambiente 	269251 Umweltschutz 	81355 Environnement 	15506 Medi_ambient 	11479 بيئة 	36440 Ingurumena 	17115 Περιβάλλον 	68850 Mediu_înconjurător 	10069 Environament 
702815 Enzymes 	156550 Enzimas 	242268 Enzym 	235868 Enzyme 	13116 Enzims 	31625 إنزيمات 	65045 Entzimak 	81092 Ένζυμα 	163880 Enzime 	27498 Enzim 
772240 Epistemology 	131269 Epistemología 	274469 Erkenntnistheorie 	106430 Épistémologie 	1093968 Epistemologia 	123196 نظرية_المعرفة 	149809 Epistemologia 	85616 Επιστημολογία 	34548 Epistemologie 	15876 Epistemologia 
21230779 Equidae 	959556 Equidae 	2097288 Pferde 	8020387 Equidae 	50397 Èquids 	248467 خيل 	61803 Equidae 	45100 Ιππίδες 	191070 Equidae 	53142 Equid 
693011 Ecuador 	51681 Ecuador 	242265 Ecuador 	120348 Équateur 	21778 Equador 	362472 الإكوادور 	24641 Ekuador 	32188 Ισημερινός 	52850 Ecuador 	9795 Eqüator 
3739541 Ericaceae 	118531 Ericaceae 	2809163 Ericaceae 	212996 Ericaceae 	208716 Ericàcies 	630779 خلنجية 	68004 Ericaceae 	155596 Ερεικοειδή 	123203 Ericaceae 	32597 Ericaceae 
1338274 Ericales 	394985 Ericales 	2809157 Ericales 	163270 Ericales 	91927 Ericals 	975082 خلنجيات 	68005 Ericales 	135076 Ερεικώδη 	123204 Ericales 	32598 Ericales 
713014 Eritrea 	75041 Eritrea 	242271 Eritrea 	172982 Érythrée 	31754 Eritrea 	33075 إريتريا 	4295 Eritrea 	49131 Ερυθραία 	18074 Eritreea 	7601 Eritrèa 
691713 Chess 	65857 Ajedrez 	234621 Schach 	2663237 Échecs 	28208 Escacs 	28724 شطرنج 	9614 Xakea 	8576 Σκάκι 	760970 Șah 	150603 Escacs 
696971 Scandinavia 	839532 Escandinavia 	242534 Skandinavien 	173159 Scandinavie 	31755 Escandinàvia 	27672 إسكندنافيا 	9640 Eskandinavia 	54961 Σκανδιναβία 	38448 Scandinavia 	28439 Escandinàvia 
716086 Slavery 	351411 Esclavitud 	406491 Sklaverei 	192442 Esclavage 	615124 Esclavitud 	50002 عبودية 	45872 Esklabotza 	152129 Δουλεία 	228699 Sclavie 	10730 Esclavatge 
691797 Writers 	6042910 Escritores 	235915 Autor 	82824 Écrivain 	14901 Escriptors 	1695283 كتاب 	3427 Idazleak 	7250 Συγγραφείς 	16833 Scriitori 	10639 Escrivan 
1075088 Sculptors_by_nationality 	610266 Escultores_por_país 	6699857 Bildhauer_nach_Staat 	2974244 Sculpteur_par_nationalité 	718922 Escultors_per_origen 	537182 نحاتون_حسب_الجنسية 	117617 Eskultoreak_herrialdearen_arabera 	66440 Γλύπτες_ανά_εθνικότητα 	984892 Sculptori_după_naționalitate 	63935 Escultor_per_nacionalitat 
728026 Sculpture 	50606 Escultura 	3182549 Bildhauerei 	124542 Sculpture 	102528 Escultura 	39650 نحت 	238608 Eskultura 	12845 Γλυπτική 	22408 Sculptură 	5684 Escultura 
698581 Scotland 	97722 Escocia 	243946 Schottland 	121231 Écosse 	13477 Escòcia 	264969 إسكتلندا 	32280 Eskozia 	43870 Σκωτία 	759954 Scoția 	13305 Escòcia 
707466 Slovakia 	67752 Eslovaquia 	242626 Slowakei 	122418 Slovaquie 	16946 Eslovàquia 	8566 سلوفاكيا 	21135 Eslovakia 	31017 Σλοβακία 	12645 Slovacia 	5511 Eslovaquia 
692505 Slovenia 	67751 Eslovenia 	242627 Slowenien 	123686 Slovénie 	21032 Eslovènia 	8565 سلوفينيا 	21134 Eslovenia 	32555 Σλοβενία 	16167 Slovenia 	25835 Eslovènia 
2255400 Esotericism 	397565 Esoterismo 	295915 Esoterik 	84971 Ésotérisme 	60964 Esoterisme 	1756415 روحيات 	157486 Esoterismoa 	251673 Εσωτερισμός 	89591 Ezoterism 	10599 Esoterisme 
700423 Spain 	51720 España 	241787 Spanien 	83943 Espagne 	12840 Espanya 	8545 إسبانيا 	5630 Espainia 	14884 Ισπανία 	13109 Spania 	5514 Espanha 
1449968 Medical_specialties 	52892 Especialidades_médicas 	2026706 Medizinisches_Fachgebiet 	293687 Spécialité_médicale 	498206 Especialitats_de_la_medicina 	181352 اختصاصات_طبية 	131334 Medikuntza-espezialitateak 	106041 Ιατρικές_ειδικότητες 	760126 Specialități_medicale 	6512 Especialitat_medicala 
18353361 Speleology 	279173 Espeleología 	631907 Speläologie 	97281 Spéléologie 	663814 Espeleologia 	1873888 استغوار 	82166 Espeleologia 	92065 Σπηλαιολογία 	23084 Speologie 	55042 Espeleologia 
740387 Esperanto 	127565 Esperanto 	250653 Esperanto 	85066 Espéranto 	101907 Esperanto 	58798 إسبرانتو 	50853 Esperantoa 	114044 Εσπεράντο 	21452 Esperanto 	50800 Esperanto 
911542 Spies 	1044737 Espías 	4052289 Agent_(Nachrichtendienst) 	501843 Espion 	584637 Agents_secrets 	53852 جواسيس 	241612 Espioiak 	91239 Κατάσκοποι 	467848 Spioni 	13830 Espion 
846098 Tools 	69083 Herramientas 	242680 Werkzeug 	104861 Outil 	31662 Eines 	19040 أدوات 	22568 Tresnak 	14984 Εργαλεία 	129232 Unelte 	10919 Esplech 
700797 Spices 	55859 Especias 	245069 Gewürz 	208051 Épice 	105767 Espècies 	23292 بهارات 	127841 Espeziak 	8443 Μπαχαρικά 	109484 Condimente 	12837 Espècia_(Cosina) 
20102160 Sport_by_country 	109159 Deporte_por_país 	1864069 Sport_nach_Staat 	258381 Sport_par_pays 	253080 Esport_per_territori 	40358 رياضة_حسب_البلد 	110839 Kirola_herrialdearen_arabera 	65225 Αθλητισμός_ανά_χώρα 	760143 Sport_după_țară 	11806 Espòrt_per_país 
694008 Statistics 	53465 Estadística 	241469 Statistik 	84935 Statistiques 	29308 Estadística 	17398 إحصاء 	7335 Estatistika 	17276 Στατιστική 	61085 Statistică 	5426 Estatisticas 
694492 Stars 	60747 Estrellas 	234792 Stern 	115405 Étoile 	13775 Estrelles 	10289 نجوم 	22270 Izarrak 	3415 Αστέρες 	29132 Stele 	20766 Estela 
698402 Stockholm 	255731 Estocolmo 	381226 Stockholm 	376799 Stockholm 	73204 Estocolm 	1077111 ستوكهولم 	101957 Stockholm 	76713 Στοκχόλμη 	321526 Stockholm 	18005 Estocòlme 
711345 Straits 	96453 Estrechos 	339169 Meerenge 	99313 Détroit 	31759 Estrets 	11882 مضائق 	42994 Itsasarteak 	67314 Πορθμοί 	78325 Strâmtori 	29081 Estrech 
695651 Estonia 	67444 Estonia 	242273 Estland 	120841 Estonie 	21033 Estònia 	8569 إستونيا 	24548 Estonia 	36447 Εσθονία 	13138 Estonia 	5513 Estònia 
691802 Ethics 	161434 Ética 	240944 Ethik 	277612 Éthique 	30200 Ètica 	729346 أخلاقيات 	7532 Etika 	14280 Ηθική 	53921 Etică 	63457 Etica 
1269198 Etymology 	335555 Etimología 	422872 Etymologie 	1120520 Étymologie 	909006 Etimologia 	556174 تأثيل 	157310 Etimologia 	319583 Ετυμολογία 	182373 Etimologie 	19086 Etimologia 
713013 Ethiopia 	70493 Etiopía 	242690 Äthiopien 	121238 Éthiopie 	28372 Etiòpia 	8139 إثيوبيا 	14955 Etiopia 	32800 Αιθιοπία 	18075 Etiopia 	9019 Etiopia 
696845 Europe 	54104 Europa 	242651 Europa 	82819 Europe 	13523 Europa 	6547 أوروبا 	4313 Europa 	5476 Ευρώπη 	12640 Europa 	2972 Euròpa 
856217 Bishops 	113632 Obispos 	243938 Bischof 	362951 Évêque 	14228 Bisbes 	1252818 أساقفة 	89170 Apezpikuak 	58777 Επίσκοποι 	107155 Episcopi 	34596 Evesque 
711730 Explorers 	72031 Exploradores 	237755 Entdecker 	157836 Explorateur 	15670 Exploradors 	6700 مستكشفون 	5946 Esploratzaileak 	8682 Εξερευνητές 	53864 Exploratori 	9900 Explorator 
4278059 FC_Barcelona 	1722341 Fútbol_Club_Barcelona 	6146187 FC_Barcelona 	1007605 FC_Barcelone 	42059 Futbol_Club_Barcelona 	918737 نادي_برشلونة_لكرة_القدم 	33438 FC_Barcelona 	329385 Μπαρτσελόνα_(ποδόσφαιρο) 	556472 FC_Barcelona 	30078 FC_Barcelona 
30210438 Fabaceae 	103688 Fabaceae 	2755555 Fabaceae 	206455 Fabaceae 	44466 Llegums 	2022426 قرون_نبات 	68009 Fabaceae 	152888 Χεδρωπά 	109283 Fabaceae 	34288 Fabaceae 
1149287 Fabales 	741562 Fabales 	1298041 Schmetterlingsblütenartige 	241823 Fabales 	723107 Fabals 	498839 فوليات 	65680 Fabales 	152900 Κυαμώδη 	109281 Fabales 	34289 Fabales 
1268376 Fagaceae 	137487 Fagaceae 	2809289 Fagaceae 	207314 Fagaceae 	91196 Fagàcies 	1109904 زانية 	60451 Fagaceae 	155325 Φηγοειδή 	123999 Fagaceae 	12833 Fagaceae 
1148627 Fagales 	261280 Fagales 	2809282 Fagales 	221290 Fagales 	91197 Fagals 	1109906 زانيات 	18537 Fagales 	135063 Φηγώδη 	124001 Fagales 	34247 Fagales 
889991 Fascism 	176841 Fascismo 	400030 Faschismus 	649683 Fascisme 	100256 Feixisme 	31385 فاشية 	9690 Faxismoa 	96009 Φασισμός 	13775 Fascism 	51437 Faissisme 
1783561 Phanerozoic 	1187854 Fanerozoico 	5814155 Phanerozoikum 	315519 Phanérozoïque 	115088 Fanerozoic 	1697262 دهر_البشائر 	76348 Fanerozoikoa 	26203 Φανεροζωικός_αιώνας 	189225 Fanerozoic 	48786 Fanerozoïc 
840292 Pharaohs 	137322 Faraones 	261502 Pharao 	116226 Pharaon 	21141 Faraons 	9858 فراعنة 	6618 Faraoiak 	6186 Φαραώ 	53154 Faraoni 	20021 Faraon 
1387055 Phasianidae 	456451 Phasianidae 	1225121 Fasanenartige 	587478 Phasianidae 	310359 Fasiànids 	1810440 تدرجية 	300542 Phasianidae 	135032 Φασιανίδες 	191230 Phasianidae 	64374 Fasianid 
21329956 Felids 	663249 Felidae 	360084 Katzen 	8020391 Felidae 	31179 Felins 	770157 سنوريات 	61800 Felidae 	113055 Αιλουρίδες 	77394 Felidae 	53105 Felid 
701235 Feminism 	183298 Feminismo 	247242 Feminismus 	144879 Féminisme 	25167 Feminisme 	130039 أنثوية 	35422 Feminismoa 	12123 Φεμινισμός 	129933 Feminism 	11147 Feminisme 
1378039 Feudalism 	203253 Feudalismo 	1132103 Feudalismus 	329643 Féodalité 	825651 Feudalisme 	256808 إقطاع 	102066 Feudalismoa 	79532 Φεουδαρχία 	172615 Feudalism 	64647 Feudalitat 
1436866 Fibers 	952220 Fibras 	5519169 Textilfaser 	1025037 Fibre 	185142 Fibres 	379347 ألياف_النسيج 	142425 Zuntzak 	304809 Ίνες 	1161787 Fibre 	34277 Fibra 
720302 Fiji 	696857 Fiyi 	242280 Fidschi 	267448 Fidji 	31762 Fiji 	38992 فيجي 	4307 Fiji 	54773 Φίτζι 	159482 Fiji 	34781 Fiji 
703532 Philippines 	62406 Filipinas 	242558 Philippinen 	83989 Philippines 	28265 Filipines 	740464 الفلبين 	8404 Filipinak 	83273 Φιλιππίνες 	18179 Filipine 	7676 Filipinas 
996489 Films_by_country 	174904 Películas_por_país 	2638580 Filmtitel_nach_Staat 	4657902 Film_par_pays 	170423 Pel·lícules_per_país 	212846 أفلام_حسب_البلد 	33169 Filmak_herrialdearen_arabera 	72523 Ταινίες_ανά_χώρα 	751068 Filme_după_țări 	62442 Filme_per_nacionalitat 
6185426 Philology 	435532 Filología 	938201 Philologie 	185973 Philologie 	20894 Filologia 	1854689 فقه_اللغة 	372614 Filologia 	17049 Φιλολογία 	23153 Filologie 	13670 Filologia 
1013657 Political_philosophy 	329706 Filosofía_política 	4200476 Politische_Philosophie 	130896 Philosophie_politique 	1194810 Filosofia_política 	118411 فلسفة_سياسية 	340068 Filosofia_politikoa 	104177 Πολιτική_φιλοσοφία 	60959 Filozofie_politică 	12919 Filosofia_politica 
692185 Philosophers 	52930 Filósofos 	235993 Philosoph 	85545 Philosophe 	15158 Filòsofs 	4706 فلاسفة 	3932 Filosofoak 	6000 Φιλόσοφοι 	22125 Filozofi 	11850 Filosòf 
718764 Finance 	122975 Finanzas 	561840 Finanzierung 	81648 Finance 	159072 Finances 	20108 مالية 	42551 Finantzak 	90584 Χρηματοοικονομικά 	751092 Finanțe 	6286 Finança 
693995 Finland 	67459 Finlandia 	242281 Finnland 	101972 Finlande 	18445 Finlàndia 	6787 فنلندا 	8927 Finlandia 	12585 Φινλανδία 	16109 Finlanda 	5518 Finlàndia 
694942 Physicists 	53159 Físicos 	235083 Physiker 	84794 Physicien 	16327 Físics 	6704 فيزيائيون 	3927 Fisikariak 	11516 Φυσικοί 	22048 Fizicieni 	13580 Fisician 
702173 Physiology 	51229 Fisiología 	250336 Physiologie 	99442 Physiologie 	31756 Fisiologia 	58409 فيزيولوجيا 	4343 Fisiologia 	21060 Φυσιολογία 	33732 Fiziologie 	4883 Fisiologia 
1138473 Flanders 	143549 Flandes 	675106 Flandern 	157602 Flandre 	182624 Flandes 	1863272 فلاندرز 	62151 Flandria 	20694 Φλάνδρα 	40563 Flandra 	32792 Flandra 
805863 Florence 	413041 Florencia 	517323 Florenz 	396812 Florence 	241478 Florència 	1863245 فلورنسا 	64634 Florentzia 	80438 Φλωρεντία 	751126 Florența 	50085 Florença 
705883 Florida 	118173 Florida 	463274 Florida 	109948 Floride 	365092 Florida 	249033 فلوريدا 	48548 Florida 	13655 Φλόριντα 	200119 Florida 	38016 Florida 
1245968 Fountains 	222542 Fuentes 	5621826 Wasserspiele 	1468150 Fontaine 	374840 Fonts 	380563 نوافير 	95665 Iturriak 	342782 Σιντριβάνια 	108140 Fântâni 	52406 Font 
737189 Fossils 	554861 Fósiles 	7661953 Fossil 	213634 Fossile 	58908 Fòssils 	226591 مستحاثات 	59931 Fosilak 	38238 Απολιθώματα 	80705 Fosile 	9271 Fossil 
759553 Belgian_footballers 	332032 Futbolistas_de_Bélgica 	392057 Fußballspieler_(Belgien) 	185459 Footballeur_belge 	291839 Futbolistes_belgues 	105408 لاعبو_كرة_قدم_بلجيكيون 	126051 Belgikako_futbolariak 	114103 Βέλγοι_ποδοσφαιριστές 	751533 Fotbaliști_belgieni 	71796 Fotbòlaire_bèlga 
693858 Photographers 	52727 Fotógrafos 	235890 Fotograf 	103707 Photographe 	73205 Fotògrafs 	609641 مصورون 	75535 Argazkilariak 	14089 Φωτογράφοι 	90832 Fotografi 	11965 Fotograf 
717207 Photography 	50607 Fotografía 	242285 Fotografie 	89385 Photographie 	33208 Fotografia 	37006 تصوير 	5794 Argazkigintza 	14088 Φωτογραφία 	38614 Fotografie 	11966 Fotografia 
1217168 Franche-Comté 	435168 Franco_Condado 	1005854 Franche-Comté 	158043 Franche-Comté 	81212 Franc_Comtat 	960692 فرانش_كومته 	94136 Franche-Comté 	342364 Φρανς-Κοντέ 	236646 Franche-Comté 	34641 Franca_Comtat 
1583114 Frankfurt 	146222 Fráncfort_del_Meno 	260808 Frankfurt_am_Main 	498954 Francfort-sur-le-Main 	106247 Frankfurt_del_Main 	315648 فرانكفورت 	66173 Frankfurt 	42017 Φρανκφούρτη 	114274 Frankfurt 	18994 Francfòrt_de_Men 
1075390 Freemasonry 	102422 Francmasonería 	778337 Freimaurerei 	166902 Franc-maçonnerie 	129417 Francmaçoneria 	243396 ماسونية 	152659 Masoneria 	26527 Τεκτονισμός 	417991 Francmasonerie 	10596 Francmaçonariá 
706228 France 	52118 Francia 	242287 Frankreich 	82490 France 	13689 França 	6789 فرنسا 	5957 Frantzia 	7842 Γαλλία 	751617 Franța 	5310 França 
1675436 Fringillidae 	602752 Fringillidae 	908670 Finken 	603221 Fringillidae 	270883 Fringíl·lids 	1418546 شرشوريات 	286007 Fringillidae 	301460 Σπιζίδες 	419414 Fringillidae 	55358 Fringillid 
691023 Fruit 	51203 Frutas 	242767 Obst 	101492 Fruit_alimentaire 	15459 Fruites 	9555 فاكهة 	6685 Fruituak 	33462 Φρούτα 	69023 Fructe 	20665 Fruch_alimentari 
713042 Gabon 	69763 Gabón 	242288 Gabun 	132695 Gabon 	28502 Gabon 	362469 الغابون 	4277 Gabon 	49127 Γκαμπόν 	18077 Gabon 	5807 Gabon 
1059123 Galliformes 	199135 Galliformes 	347863 Hühnervögel 	494920 Galliformes 	311173 Gal·liformes 	60630 دجاجيات 	61782 Galliformes 	135033 Ορνιθόμορφα 	191231 Galliformes 	53616 Gallifòrme 
1645013 Gases 	2872944 Gases 	589970 Gas 	129186 Gaz 	248312 Gasos 	17125 غازات 	164097 Gasak 	384610 Αέρια 	23118 Gaze 	20004 Gas 
2933328 Cuisine_by_nationality 	666404 Gastronomía_por_país 	7589814 National-_und_Regionalküchen 	3936636 Gastronomie_par_pays 	1041623 Gastronomia_per_origen 	267135 مطابخ_حسب_البلد 	100130 Gastronomia_herrialdearen_arabera 	36123 Εθνικές_κουζίνες 	87502 Bucătăriile_lumii 	61034 Gastronomia_per_país 
794521 Generals 	2038210 Generales 	7683119 General 	157881 Général 	886608 Generals 	1855959 جنرالات 	237810 Jeneralak 	111957 Στρατηγοί 	69789 Generali 	10588 General 
1286193 Literary_genres 	203299 Géneros_literarios 	277720 Literaturgattung 	160278 Genre_et_forme_littéraire 	35547 Gèneres_literaris 	65240 أنواع_أدبية 	6810 Literatura_generoak 	82059 Λογοτεχνικά_είδη 	35966 Genuri_literare 	20898 Genre_literari 
1271210 Gentianales 	255466 Gentianales 	2809255 Gentianales 	158016 Gentianales 	115432 Gencianals 	1541084 جنطيانيات 	131522 Gentianales 	369264 Γενθιανώδη 	123406 Gentianales 	6149 Gentianales 
862535 Geodesy 	868774 Geodesia 	267298 Geodäsie 	376190 Géodésie 	650976 Geodèsia 	126152 جيوديسيا 	369044 Geodesia 	14879 Γεωδαισία 	23103 Geodezie 	20726 Geodesia 
996465 Geographers 	54671 Geógrafos 	362861 Geograph 	130558 Géographe 	27327 Geògrafs 	12371 جغرافيون 	5305 Geografoak 	12724 Γεωγράφοι 	115386 Geografi 	59251 Geograf 
2030145 Geography_of_Oceania 	50957 Geografía_de_Oceanía 	632560 Geographie_(Australien_und_Ozeanien) 	483406 Géographie_de_l'Océanie 	121323 Geografia_d'Oceania 	124565 جغرافيا_أوقيانوسيا 	4299 Ozeaniako_geografia 	211125 Γεωγραφία_της_Ωκεανίας 	284263 Geografia_Oceaniei 	30599 Geografia_d'Oceania 
697077 Geology 	50639 Geología 	236007 Geologie 	125805 Géologie 	12963 Geologia 	8100 جيولوجيا 	5741 Geologia 	6142 Γεωλογία 	23100 Geologie 	3500 Geologia 
1106721 Geomorphology 	172107 Geomorfología 	236005 Geomorphologie 	182884 Géomorphologie 	121389 Geomorfologia 	2160485 شكلياء_الأرض 	60134 Geomorfologia 	111162 Γεωμορφολογία 	40670 Geomorfologie 	34651 Geomorfologia 
869985 Project_management 	613751 Gestión_de_proyectos 	373438 Projektmanagement 	176734 Gestion_de_projet 	202357 Gestió_de_projectes 	745956 إدارة_المشاريع 	130982 Proiektuen_kudeaketa 	17092 Διοίκηση_και_Διαχείριση_Έργων 	822648 Administrarea_proiectelor 	10923 Gestion_de_projècte 
713010 Ghana 	69825 Ghana 	242303 Ghana 	121242 Ghana 	28421 Ghana 	7355 غانا 	4276 Ghana 	49125 Γκάνα 	18079 Ghana 	30062 Ghana 
712957 Gibraltar 	202781 Gibraltar 	557974 Gibraltar 	476591 Gibraltar 	72125 Gibraltar 	12755 جبل_طارق 	9110 Gibraltar 	76609 Γιβραλτάρ 	389521 Gibraltar 	60093 Gibartar 
713772 Carbohydrates 	4644382 Glúcidos 	482911 Kohlenhydrat 	229557 Glucide 	36012 Carbohidrats 	306034 كربوهيدرات 	55317 Karbono_hidratoak 	35507 Υδατάνθρακες 	749081 Carbohidrați 	26141 Glucid 
19905850 Church_buildings 	177860 Iglesias 	238631 Kirchengebäude 	217476 Église 	12672 Esglésies 	6472 كنائس 	43173 Elizak 	37027 Χριστιανικοί_ναοί 	23482 Biserici 	34971 Glèisa 
1146669 Golf 	118930 Golf 	252110 Golf 	161392 Golf 	213166 Golf 	302135 غولف 	48575 Golfa 	110722 Γκολφ 	579827 Golf 	27609 Golf 
853521 Google 	232171 Google 	995023 Google 	142949 Google 	75728 Google 	137927 جوجل 	17901 Google 	342587 Google 	872670 Google 	51574 Google 
1704505 Government_by_country 	476792 Gobierno_por_país 	4085715 Regierung_nach_Staat 	545856 Gouvernement_par_pays 	1237490 Govern_per_país 	281117 حكومات_حسب_البلد 	105270 Gobernuak_herrialdearen_arabera 	279368 Κυβέρνηση_ανά_χώρα 	752614 Guverne_după_țară 	46348 Govèrn_per_país 
733122 Grammar 	51166 Gramática 	244723 Grammatik 	88779 Grammaire 	14760 Gramàtica 	527839 قواعد_اللغة 	8491 Gramatika 	26795 Γραμματική 	22404 Gramatică 	5939 Gramatica 
1073040 Grand_Dukes_of_Luxembourg 	367419 Grandes_Duques_de_Luxemburgo 	559850 Großherzog_(Luxemburg) 	6992026 Grand-duc_et_grande-duchesse_de_Luxembourg 	85458 Grans_Ducs_de_Luxemburg 	2330447 الدوق_الأكبر_للكسومبورغ 	371453 Luxenburgoko_duke-handiak 	77924 Μονάρχες_του_Λουξεμβούργου 	471893 Mari_Duci_de_Luxembourg 	30434 Grand_Duc_de_Luxemborg 
699630 Skyscrapers 	54664 Rascacielos 	7531161 Hochhaus 	85511 Gratte-ciel 	29614 Gratacels 	194071 ناطحات_سحاب 	297381 Etxe_orratzak 	97517 Ουρανοξύστες 	110068 Zgârie-nori 	20983 Gratacèl 
693048 Grenada 	66495 Granada_(país) 	242304 Grenada 	430162 Grenade 	30136 Grenada 	38983 جرينادا 	32259 Grenada 	49130 Γρενάδα 	52719 Grenada 	9817 Grenada_(país) 
712953 Greenland 	72026 Groenlandia 	352023 Grönland 	241254 Groenland 	84853 Grenlàndia 	661825 جرينلاند 	24708 Groenlandia 	20538 Γροιλανδία 	84825 Groenlanda 	29286 Groenlàndia 
1270415 Gruiformes 	199138 Gruiformes 	643203 Kranichvögel 	166888 Gruiformes 	276939 Gruïformes 	1174132 كركيات 	128324 Gruiformes 	231153 Γερανόμορφα 	419410 Gruiformes 	53615 Gruifòrme 
707457 Greece 	54103 Grecia 	241642 Griechenland 	87789 Grèce 	13522 Grècia 	219923 اليونان 	6264 Grezia 	3778 Ελλάδα 	13136 Grecia 	5826 Grècia 
901685 Guadeloupe 	213442 Guadalupe 	557073 Guadeloupe 	87686 Guadeloupe 	534526 Guadalupe 	1035625 جوادلوب 	85494 Guadalupe 	90315 Γουαδελούπη 	52743 Guadelupa 	114124 Guadalope 
1146672 Guam 	351490 Guam 	554720 Guam 	858988 Guam 	463265 Guam 	873207 غوام 	60797 Guam 	87802 Γκουάμ 	159487 Guam 	5814 Guam 
713037 Guatemala 	51498 Guatemala 	242310 Guatemala 	120350 Guatemala 	28177 Guatemala 	35887 غواتيمالا 	14710 Guatemala 	58921 Γουατεμάλα 	36645 Guatemala 	5827 Guatemala 
743309 Guinea-Bissau 	5330541 Guinea-Bisáu 	242312 Guinea-Bissau 	197660 Guinée-Bissau 	30134 Guinea_Bissau 	40554 غينيا_بيساو 	34206 Ginea-Bissau 	49129 Γουινέα-Μπισσάου 	18080 Guineea-Bissau 	9747 Guinèa_Bissau 
693015 Guyana 	51692 Guyana 	238247 Guyana 	157432 Guyana 	28111 Guyana 	25195 غويانا 	51601 Guyana 	54503 Γουιάνα 	52857 Guyana 	35976 Guyana 
693049 Haiti 	67667 Haití 	242322 Haiti 	157431 Haïti 	28454 Haití 	538157 هايتي 	24709 Haiti 	35562 Αϊτή 	50032 Haiti 	9819 Haití 
712994 Heraldry 	76064 Heráldica 	358628 Heraldik 	90015 Héraldique 	13624 Heràldica 	891394 شعارات_نبالة 	119843 Heraldika 	176606 Εραλδική 	86070 Heraldică 	32958 Heraudica 
708420 Hip_hop 	88698 Hip_hop 	1441964 Hip-Hop 	191011 Hip-hop 	245968 Hip_hop 	379000 هيب_هوب 	290737 Hip_hop 	317152 Χιπ_χοπ 	38645 Hip_hop 	47118 Hip-hop 
713038 Honduras 	51499 Honduras 	242355 Honduras 	157936 Honduras 	28452 Hondures 	40533 هندوراس 	24643 Honduras 	67322 Ονδούρα 	212540 Honduras 	31880 Honduras 
718741 Yemen 	75405 Yemen 	242367 Jemen 	83980 Yémen 	25766 Iemen 	164969 اليمن 	21635 Yemen 	70136 Υεμένη 	18160 Yemen 	5815 Iemèn 
720309 Solomon_Islands 	100691 Islas_Salomón 	242604 Salomonen 	305354 Îles_Salomon 	1011597 Salomó 	38980 جزر_سليمان 	292190 Salomon_uharteak 	61117 Νήσοι_Σολομώντα 	159484 Insulele_Solomon 	25831 Illas_Salamon 
705953 Illinois 	1101993 Illinois 	384242 Illinois 	109964 Illinois 	406767 Illinois 	207683 إلينوي 	89322 Illinois 	204289 Ιλινόι 	99232 Statul_Illinois,_SUA 	38015 Illinois 
24958303 Himalayas 	983115 Himalaya 	242896 Himalaya 	146183 Himalaya 	29338 Himàlaia 	1855365 هيمالايا 	62116 Himalaia 	225768 Ιμαλάια 	182542 Himalaya 	50103 Imalaia 
